John Jay Hall,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-barnard-dorm-should-you-live-in/,
McBain Hall,https://www.columbiaspectator.com/spectrum/2017/03/30/hack-housing-which-dorms-and-floors-have-been-renovated-at-columbia-and-barnard/,
River Hall,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-dorms-are-the-quietest-on-campus/,
Ruggles Hall,https://www.columbiaspectator.com/spectrum/2017/03/24/hack-housing-which-dorms-are-the-loudest-on-campus/,https://www.columbiaspectator.com/spectrum/2017/03/08/hack-housing-how-to-participate-in-the-cubc-housing-exchange/
Schapiro Hall,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-columbia-dorm-should-you-live-in/,
Wallach Hall,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-columbia-dorm-should-you-live-in/,
Watt Hall,https://www.columbiaspectator.com/spectrum/2017/03/24/hack-housing-which-dorms-are-the-loudest-on-campus/,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-barnard-dorm-should-you-live-in/
Wien Hall,https://www.columbiaspectator.com/spectrum/2017/03/30/hack-housing-which-dorms-and-floors-have-been-renovated-at-columbia-and-barnard/,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-barnard-dorm-should-you-live-in/
Woodbridge Hall,https://www.columbiaspectator.com/spectrum/2017/03/03/hack-housing-which-dorm-should-you-pick-if-you-want-to-feel-like-youre-living-off-campus/,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-barnard-dorm-should-you-live-in/
548 West 113th Street (Symposium),https://www.columbiaspectator.com/spectrum/2017/03/03/hack-housing-which-dorm-should-you-pick-if-you-want-to-feel-like-youre-living-off-campus/,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-barnard-dorm-should-you-live-in/
